history_id,emp_id,event_type,event_date,from_value,to_value,field_changed,note,recorded_by
1,EMP-002,한국파견,,,한국파견,employment_type,입사,system_import
2,EMP-003,한국파견,,,한국파견,employment_type,입사,system_import
3,EMP-004,정규직원,2019-09-23,,정규직원,employment_type,입사,system_import
4,EMP-005,정규직원,2021-09-13,,정규직원,employment_type,입사,system_import
5,EMP-006,정규직원,2022-08-17,,정규직원,employment_type,입사,system_import
6,EMP-007,정규직원,2023-01-02,,정규직원,employment_type,입사,system_import
7,EMP-008,정규직원,2023-08-14,,정규직원,employment_type,입사,system_import
8,EMP-009,정규직원,2024-01-01,,정규직원,employment_type,입사,system_import
9,EMP-010,정규직원,2024-01-01,,정규직원,employment_type,입사,system_import
10,EMP-011,정규직원,2024-01-01,,정규직원,employment_type,입사,system_import
11,EMP-012,정규직원,2024-01-01,,정규직원,employment_type,입사,system_import
12,EMP-013,정규직원,2024-01-01,,정규직원,employment_type,입사,system_import
13,EMP-014,정규직원,2019-03-01,,정규직원,employment_type,입사,system_import
14,EMP-015,정규직원,2019-02-25,,정규직원,employment_type,입사,system_import
15,EMP-016,정규직원,2022-08-17,,정규직원,employment_type,입사,system_import
16,EMP-017,정규직원,2024-01-01,,정규직원,employment_type,입사,system_import
17,EMP-018,정규직원,2015-03-10,,정규직원,employment_type,입사,system_import
18,EMP-019,정규직원,2014-03-01,,정규직원,employment_type,입사,system_import
19,EMP-020,정규직원,2015-03-02,,정규직원,employment_type,입사,system_import
20,EMP-021,정규직원,2019-09-23,,정규직원,employment_type,입사,system_import
21,EMP-022,정규직원,2020-10-01,,정규직원,employment_type,입사,system_import
22,EMP-023,정규직원,2020-10-01,,정규직원,employment_type,입사,system_import
23,EMP-024,정규직원,2021-03-09,,정규직원,employment_type,입사,system_import
24,EMP-025,정규직원,2021-09-13,,정규직원,employment_type,입사,system_import
25,EMP-026,정규직원,2021-09-13,,정규직원,employment_type,입사,system_import
26,EMP-027,정규직원,2023-01-01,,정규직원,employment_type,입사,system_import
27,EMP-028,정규직원,2024-01-01,,정규직원,employment_type,입사,system_import
28,EMP-029,정규직원,2024-01-01,,정규직원,employment_type,입사,system_import
29,EMP-030,정규직원,2024-08-12,,정규직원,employment_type,입사,system_import
30,EMP-031,정규직원,2025-01-13,,정규직원,employment_type,입사,system_import
31,EMP-032,정규직원,2025-01-13,,정규직원,employment_type,입사,system_import
32,EMP-033,정규직원,2014-03-01,,정규직원,employment_type,입사,system_import
33,EMP-034,정규직원,2015-03-02,,정규직원,employment_type,입사,system_import
34,EMP-035,정규직원,2019-09-23,,정규직원,employment_type,입사,system_import
35,EMP-036,정규직원,2020-03-10,,정규직원,employment_type,입사,system_import
36,EMP-037,정규직원,2021-03-09,,정규직원,employment_type,입사,system_import
37,EMP-038,정규직원,2021-03-09,,정규직원,employment_type,입사,system_import
38,EMP-039,정규직원,2021-09-13,,정규직원,employment_type,입사,system_import
39,EMP-040,정규직원,2023-01-01,,정규직원,employment_type,입사,system_import
40,EMP-041,정규직원,2023-01-01,,정규직원,employment_type,입사,system_import
41,EMP-042,정규직원,2024-01-01,,정규직원,employment_type,입사,system_import
42,EMP-043,정규직원,2024-08-12,,정규직원,employment_type,입사,system_import
43,EMP-044,정규직원,2024-08-12,,정규직원,employment_type,입사,system_import
44,EMP-045,정규직원,2025-01-13,,정규직원,employment_type,입사,system_import
45,EMP-046,정규직원,2025-02-18,,정규직원,employment_type,입사,system_import
46,EMP-047,정규직원,2020-03-10,,정규직원,employment_type,입사,system_import
47,EMP-048,정규직원,2023-01-02,,정규직원,employment_type,입사,system_import
48,EMP-049,정규직원,2018-02-01,,정규직원,employment_type,입사,system_import
49,EMP-050,정규직원,2014-03-01,,정규직원,employment_type,입사,system_import
50,EMP-051,정규직원,2019-09-23,,정규직원,employment_type,입사,system_import
51,EMP-052,정규직원,2022-08-17,,정규직원,employment_type,입사,system_import
52,EMP-053,정규직원,2025-01-13,,정규직원,employment_type,입사,system_import
53,EMP-054,정규직원,2023-01-02,,정규직원,employment_type,입사,system_import
54,EMP-055,정규직원,2024-01-01,,정규직원,employment_type,입사,system_import
55,EMP-056,정규직원,2015-03-02,,정규직원,employment_type,입사,system_import
56,EMP-057,정규직원,2017-03-01,,정규직원,employment_type,입사,system_import
57,EMP-058,정규직원,2020-03-10,,정규직원,employment_type,입사,system_import
58,EMP-059,정규직원,2022-03-01,,정규직원,employment_type,입사,system_import
59,EMP-060,정규직원,2024-01-01,,정규직원,employment_type,입사,system_import
60,EMP-061,정규직원,2014-03-01,,정규직원,employment_type,입사,system_import
61,EMP-062,정규직원,2018-09-17,,정규직원,employment_type,입사,system_import
62,EMP-063,정규직원,2020-10-01,,정규직원,employment_type,입사,system_import
63,EMP-064,정규직원,2022-08-17,,정규직원,employment_type,입사,system_import
64,EMP-065,정규직원,2024-01-01,,정규직원,employment_type,입사,system_import
65,EMP-066,정규직원,2025-01-13,,정규직원,employment_type,입사,system_import
66,EMP-067,정규직원,2025-01-13,,정규직원,employment_type,입사,system_import
67,EMP-068,정규직원,2025-04-21,,정규직원,employment_type,입사,system_import
68,EMP-069,정규직원,2015-03-02,,정규직원,employment_type,입사,system_import
69,EMP-070,정규직원,2021-12-01,,정규직원,employment_type,입사,system_import
