emp_id,event_type,event_date,note,recorded_by
EMP-002,한국파견,,입사,system_import
EMP-003,한국파견,,입사,system_import
EMP-004,정규직원,2019-09-23,입사,system_import
EMP-005,정규직원,2021-09-13,입사,system_import
EMP-006,정규직원,2022-08-17,입사,system_import
EMP-007,정규직원,2023-01-02,입사,system_import
EMP-008,정규직원,2023-08-14,입사,system_import
EMP-009,정규직원,2024-01-01,입사,system_import
EMP-010,정규직원,2024-01-01,입사,system_import
EMP-011,정규직원,2024-01-01,입사,system_import
EMP-012,정규직원,2024-01-01,입사,system_import
EMP-013,정규직원,2024-01-01,입사,system_import
EMP-014,정규직원,2019-03-01,입사,system_import
EMP-015,정규직원,2019-02-25,입사,system_import
EMP-016,정규직원,2022-08-17,입사,system_import
EMP-017,정규직원,2024-01-01,입사,system_import
EMP-018,정규직원,2015-03-10,입사,system_import
EMP-019,정규직원,2014-03-01,입사,system_import
EMP-020,정규직원,2015-03-02,입사,system_import
EMP-021,정규직원,2019-09-23,입사,system_import
EMP-022,정규직원,2020-10-01,입사,system_import
EMP-023,정규직원,2020-10-01,입사,system_import
EMP-024,정규직원,2021-03-09,입사,system_import
EMP-025,정규직원,2021-09-13,입사,system_import
EMP-026,정규직원,2021-09-13,입사,system_import
EMP-027,정규직원,2023-01-01,입사,system_import
EMP-028,정규직원,2024-01-01,입사,system_import
EMP-029,정규직원,2024-01-01,입사,system_import
EMP-030,정규직원,2024-08-12,입사,system_import
EMP-031,정규직원,2025-01-13,입사,system_import
EMP-032,정규직원,2025-01-13,입사,system_import
EMP-033,정규직원,2014-03-01,입사,system_import
EMP-034,정규직원,2015-03-02,입사,system_import
EMP-035,정규직원,2019-09-23,입사,system_import
EMP-036,정규직원,2020-03-10,입사,system_import
EMP-037,정규직원,2021-03-09,입사,system_import
EMP-038,정규직원,2021-03-09,입사,system_import
EMP-039,정규직원,2021-09-13,입사,system_import
EMP-040,정규직원,2023-01-01,입사,system_import
EMP-041,정규직원,2023-01-01,입사,system_import
EMP-042,정규직원,2024-01-01,입사,system_import
EMP-043,정규직원,2024-08-12,입사,system_import
EMP-044,정규직원,2024-08-12,입사,system_import
EMP-045,정규직원,2025-01-13,입사,system_import
EMP-046,정규직원,2025-02-18,입사,system_import
EMP-047,정규직원,2020-03-10,입사,system_import
EMP-048,정규직원,2023-01-02,입사,system_import
EMP-049,정규직원,2018-02-01,입사,system_import
EMP-050,정규직원,2014-03-01,입사,system_import
EMP-051,정규직원,2019-09-23,입사,system_import
EMP-052,정규직원,2022-08-17,입사,system_import
EMP-053,정규직원,2025-01-13,입사,system_import
EMP-054,정규직원,2023-01-02,입사,system_import
EMP-055,정규직원,2024-01-01,입사,system_import
